request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values
0,BasicRequest_no_show,1,25260,25260,1169;-1;-1,3613;-1;-1,,,,,379.730806386,3488.96795059,0:t_wait:196.94095196849958;t_drive:679.730806386;fare:348,False,,0,0,5,,25449.36993839703,25923.973731098242,348,0,,196.94095196849958,False,25269.349999999864,False,82.9815269547615,False,[]
1,BasicRequest_no_show,1,25260,25260,3964;-1;-1,442;-1;-1,,,,,688.9644988845,4660.77485407,0:t_wait:435.18564167850127;t_drive:988.9644988844993;fare:466,False,,0,0,7,,25869.402985791006,26706.119533842222,466,0,,435.18564167850127,False,25267.899999999885,False,81.67948403585697,False,[]
2,BasicRequest_no_show,1,25500,25500,1887;-1;-1,1587;-1;-1,,,,,914.6696113716445,6735.292886887,0:t_wait:581.0562342948542;t_drive:1214.6696113716462;fare:673,False,,0,0,6,,26150.830972101292,26944.14692834786,673,0,,581.0562342948542,False,25511.449999999833,False,80.66067169721848,False,[]
3,BasicRequest_no_show,1,25920,25920,1323;-1;-1,1587;-1;-1,,,,,900.2982275284525,11182.5322715,0:t_wait:60.01850543525143;t_drive:1200.2982275284521;fare:1118,False,,0,0,11,,25980.018505435248,27044.41650146147,1118,0,,60.01850543525143,False,25927.199999999895,False,80.04002614543087,False,[]
10,BasicRequest_no_show,1,27780,27780,366;-1;-1,1047;-1;-1,,,,,816.8284722470407,6345.955741379999,0:t_wait:885.1486955935288;t_drive:1116.8284722470416;fare:634,True,,,,,,,,,0,,,False,,False,,False,[]
12,BasicRequest_no_show,1,28260,28260,495;-1;-1,3562;-1;-1,,,,,603.9088474379756,4864.881807137001,0:t_wait:1374.2005625210077;t_drive:903.908847437975;fare:486,True,,,,,,,,,0,,,False,,False,,False,[]
13,BasicRequest_no_show,1,28320,28320,2355;-1;-1,1520;-1;-1,,,,,775.8987744795064,5495.262272907999,0:t_wait:1116.01919321085;t_drive:1075.898774479505;fare:549,True,,,,,,,,,0,,,False,,False,,False,[]
14,BasicRequest_no_show,1,28320,28320,852;-1;-1,1140;-1;-1,,,,,1715.1707322125426,14768.012929240998,0:t_wait:1275.9048933505837;t_drive:2015.170732212544;fare:1476,False,28350,0,,,,,,1476,0,,1275.9048933505837,True,28350.0,True,-45.13178597228499,False,[]
4,BasicRequest_no_show,1,26400,26400,1176;-1;-1,3562;-1;-1,,,,,1073.461884877697,8772.882029669,0:t_wait:314.6459906995151;t_drive:1373.4618848776954;fare:877,False,,0,0,5,,26724.0851539004,28469.040083413565,877,0,,314.6459906995151,False,26406.7999999999,False,80.97784037132948,False,[]
6,BasicRequest_no_show,1,27180,27180,418;-1;-1,1587;-1;-1,,,,,1015.3701048475791,9421.648180057,0:t_wait:290.88774518186256;t_drive:1315.3701048475777;fare:942,False,,0,0,8,,27470.887745181866,28542.006205001955,942,0,,290.88774518186256,False,27184.499999999935,False,80.41375191388376,False,[]
7,BasicRequest_no_show,1,27240,27240,1889;-1;-1,2617;-1;-1,,,,,1072.1150136848062,10362.46731546,0:t_wait:460.78999337116693;t_drive:1372.1150136848046;fare:1036,False,,0,0,9,,27700.789993371167,28844.61426087339,1036,0,,460.78999337116693,False,27247.049999999897,False,80.09635017554032,False,[]
17,BasicRequest_no_show,1,28860,28860,1005;-1;-1,385;-1;-1,,,,,1180.7627953481042,8644.432026334,0:t_wait:1130.7409054607779;t_drive:1480.762795348106;fare:864,False,28890,0,,,,,,864,0,,1130.7409054607779,True,28890.0,True,-7.756724807607506,False,[]
11,BasicRequest_no_show,1,27900,27900,1125;-1;-1,2064;-1;-1,,,,,725.3778862552606,4723.604233450001,0:t_wait:83.27271101580845;t_drive:1025.3778862552608;fare:472,False,,0,0,7,,27983.27271101581,28934.27963326885,472,0,,83.27271101580845,False,27909.59999999986,False,82.5359727364909,False,[]
19,BasicRequest_no_show,1,29160,29160,3661;-1;-1,428;-1;-1,,,,,625.9530536728905,3583.10760761,0:t_wait:1190.7915350048825;t_drive:925.9530536728889;fare:358,True,,,,,,,,,0,,,False,,False,,False,[]
5,BasicRequest_no_show,1,27060,27060,3723;-1;-1,2508;-1;-1,,,,,1044.3275772618176,10806.654156936002,0:t_wait:306.36028757911845;t_drive:1344.327577261818;fare:1080,False,,0,0,10,,27569.87894374335,29242.62984094608,1080,0,,306.36028757911845,False,27063.99999999994,False,80.95598506568506,False,[]
9,BasicRequest_no_show,1,27660,27660,325;-1;-1,3988;-1;-1,,,,,280.14689781457014,3705.9534425,0:t_wait:804.2577262988343;t_drive:580.1468978145713;fare:370,False,,0,0,11,,28749.79245029323,29524.671757038523,370,0,,804.2577262988343,False,27669.49999999986,False,86.22785995933214,False,[]
20,BasicRequest_no_show,1,29520,29520,1591;-1;-1,3484;-1;-1,,,,,1545.2657482349832,15504.050355580002,0:t_wait:1127.7800269106483;t_drive:1845.2657482349823;fare:1550,False,29550,0,,,,,,1550,0,,1127.7800269106483,True,29550.0,True,-23.544787887517135,False,[]
23,BasicRequest_no_show,1,29880,29880,2823;-1;-1,2675;-1;-1,,,,,737.8258759543107,6305.8259904,0:t_wait:881.2306899262439;t_drive:1037.8258759543096;fare:630,True,,,,,,,,,0,,,False,,False,,False,[]
15,BasicRequest_no_show,1,28500,28500,332;-1;-1,2094;-1;-1,,,,,896.1951229228539,8739.40275262,0:t_wait:542.1969963618394;t_drive:1196.1951229228544;fare:873,False,,0,0,5,,29101.152223558216,29935.365916707204,873,0,,542.1969963618394,False,28507.999999999884,False,81.048269422865,False,[]
16,BasicRequest_no_show,1,28680,28680,3232;-1;-1,33;-1;-1,,,,,921.401354376304,8148.82884765,0:t_wait:433.24234406730466;t_drive:1221.401354376303;fare:814,False,,0,0,8,,29146.095086197376,30094.872912826493,814,0,,433.24234406730466,False,28687.799999999886,False,82.6273071573984,False,[]
8,BasicRequest_no_show,1,27420,27420,3151;-1;-1,422;-1;-1,,,,,1274.3331092290678,10903.955051329001,0:t_wait:1075.8928189458347;t_drive:1574.3331092290682;fare:1090,False,,0,0,6,,28673.136180976446,30350.05273499194,1090,0,,1075.8928189458347,False,27450.0,True,29.57638266264661,False,[]
29,BasicRequest_no_show,1,30720,30720,3442;-1;-1,427;-1;-1,,,,,489.5414832099199,3028.1920620200003,0:t_wait:1105.5117137929992;t_drive:789.5414832099195;fare:302,False,30750,0,,,,,,302,0,,1105.5117137929992,True,30750.0,True,-25.10555546238812,False,[]
30,BasicRequest_no_show,1,30780,30780,2403;-1;-1,3266;-1;-1,,,,,587.9482435433016,3453.4493162199997,0:t_wait:1076.115120482209;t_drive:887.9482435433019;fare:345,True,,,,,,,,,0,,,False,,False,,False,[]
32,BasicRequest_no_show,1,30840,30840,3417;-1;-1,427;-1;-1,,,,,348.51393519106534,2771.2647148200003,0:t_wait:1379.9467543405808;t_drive:648.5139351910657;fare:277,True,,,,,,,,,0,,,False,,False,,False,[]
33,BasicRequest_no_show,1,30840,30840,3178;-1;-1,1587;-1;-1,,,,,942.9877304012956,9292.717323727,0:t_wait:1380.0324747490558;t_drive:1242.9877304012953;fare:929,True,,,,,,,,,0,,,False,,False,,False,[]
34,BasicRequest_no_show,1,30900,30900,1541;-1;-1,3972;-1;-1,,,,,988.0949326147063,7027.555841580002,0:t_wait:1358.5058212512013;t_drive:1288.0949326147093;fare:702,True,,,,,,,,,0,,,False,,False,,False,[]
21,BasicRequest_no_show,1,29640,29640,1392;-1;-1,2098;-1;-1,,,,,676.2888840707719,5333.018977627999,0:t_wait:375.2028898109347;t_drive:976.288884070771;fare:533,False,,0,0,11,,30015.20288981093,30936.360299338623,533,0,,375.2028898109347,False,29647.54999999989,False,80.47307887674438,False,[]
18,BasicRequest_no_show,1,29100,29100,1807;-1;-1,3665;-1;-1,,,,,678.0454352675606,5752.973829462999,0:t_wait:798.4473658678071;t_drive:978.0454352675624;fare:575,False,,0,0,7,,30121.17560004229,31044.650456244686,575,0,,798.4473658678071,False,29106.9499999999,False,80.3335172588761,False,[]
37,BasicRequest_no_show,1,31200,31200,1504;-1;-1,3313;-1;-1,,,,,448.7503850429328,2960.2938173800003,0:t_wait:1087.4250360754522;t_drive:748.7503850429348;fare:296,False,31230,0,,,,,,296,0,,1087.4250360754522,True,31230.0,True,-23.523277819465346,False,[]
38,BasicRequest_no_show,1,31260,31260,3931;-1;-1,3754;-1;-1,,,,,806.9694639953007,7511.17487766,0:t_wait:1236.2679058538633;t_drive:1106.9694639953013;fare:751,False,31290,0,,,,,,751,0,,1236.2679058538633,True,31290.0,True,-29.57285984862009,False,[]
39,BasicRequest_no_show,1,31320,31320,2205;-1;-1,849;-1;-1,,,,,533.2427512833067,2395.4944887400006,0:t_wait:1350.3628625717647;t_drive:833.2427512833128;fare:239,True,,,,,,,,,0,,,False,,False,,False,[]
24,BasicRequest_no_show,1,30360,30360,1815;-1;-1,1047;-1;-1,,,,,773.8068387329984,3796.0044792500003,0:t_wait:313.52924481539594;t_drive:1073.8068387329986;fare:379,False,,0,0,8,,30673.5292448154,31367.536952938244,379,0,,313.52924481539594,False,30367.349999999893,False,80.98046410744674,False,[]
22,BasicRequest_no_show,1,29760,29760,2319;-1;-1,1587;-1;-1,,,,,1117.1265713795171,8554.480113347,0:t_wait:251.1380144410723;t_drive:1417.1265713795183;fare:855,False,,0,0,10,,30011.138014441072,31405.70650699961,855,0,,251.1380144410723,False,29766.349999999908,False,82.29453882342261,False,[]
25,BasicRequest_no_show,1,30360,30360,821;-1;-1,2858;-1;-1,,,,,595.5204907068219,5574.202472539999,0:t_wait:692.2644815952117;t_drive:895.5204907068219;fare:557,False,,0,0,6,,30813.810033895075,31609.308613262907,557,0,,692.2644815952117,False,30364.599999999933,False,81.25058914121816,False,[]
26,BasicRequest_no_show,1,30360,30360,3516;-1;-1,3852;-1;-1,,,,,378.9432582835477,4264.0265960100005,0:t_wait:486.6232642017203;t_drive:678.943258283547;fare:426,False,,0,0,5,,31017.997618579895,31729.4559246012,426,0,,486.6232642017203,False,30367.099999999897,False,81.36849851073485,False,[]
43,BasicRequest_no_show,1,31860,31860,2448;-1;-1,898;-1;-1,,,,,1528.4855671511095,11841.071717247,0:t_wait:1339.8027503347184;t_drive:1828.4855671511104;fare:1184,False,31870,0,,,,,,1184,0,,1339.8027503347184,True,31873.499999999804,False,-80.64930951553941,False,[]
31,BasicRequest_no_show,1,30780,30780,2311;-1;-1,3562;-1;-1,,,,,213.29921366004288,1589.860656219,0:t_wait:978.1013067283384;t_drive:513.2992136600442;fare:158,False,,0,0,9,,31929.816017055757,32185.783029071295,158,0,,978.1013067283384,False,30810.0,True,10.90278271676875,False,[]
40,BasicRequest_no_show,1,31440,31440,2311;-1;-1,3562;-1;-1,,,,,213.29921366004288,1589.860656219,0:t_wait:411.7809813069289;t_drive:513.2992136600442;fare:158,False,,0,0,9,,31929.816017055757,32185.783029071295,158,0,,411.7809813069289,False,31445.899999999914,False,80.22308609866099,False,[]
28,BasicRequest_no_show,1,30660,30660,1;-1;-1,1809;-1;-1,,,,,476.9854222467169,5910.04881399,0:t_wait:724.7515488848512;t_drive:776.9854222467184;fare:591,False,,0,0,7,,31302.507453816044,32271.825435353334,591,0,,724.7515488848512,False,30668.94999999987,False,82.04399642001236,False,[]
36,BasicRequest_no_show,2,31200,31200,866;-1;-1,1809;-1;-1,,,,,471.6634145597036,4200.19422449,0:t_wait:656.5839903856831;t_drive:771.6634145597054;fare:840,False,,0,0,2,,31912.625993604543,32379.866253249893,840,0,,656.5839903856831,False,31206.999999999898,False,80.78616931381741,False,[]
27,BasicRequest_no_show,1,30600,30600,3529;-1;-1,3562;-1;-1,,,,,910.0655624758112,8036.628550253,0:t_wait:840.8942978077539;t_drive:1210.065562475811;fare:803,False,,0,0,11,,31324.58694400597,32404.877468115315,803,0,,840.8942978077539,False,30619.449999999717,False,81.04351800657709,False,[]
35,BasicRequest_no_show,1,31020,31020,3750;-1;-1,3478;-1;-1,,,,,673.957219103213,5008.14888725,0:t_wait:919.2929187466689;t_drive:973.9572191032166;fare:500,False,,0,0,6,,31783.74237992876,32714.24787056833,500,0,,919.2929187466689,False,31050.0,True,25.622635378737336,False,[]
42,BasicRequest_no_show,1,31740,31740,2168;-1;-1,1687;-1;-1,,,,,363.2673354075845,3721.85355657,0:t_wait:720.1672076186114;t_drive:663.267335407585;fare:372,False,,0,0,5,,32362.375646146007,32898.941536145365,372,0,,720.1672076186114,False,31751.04999999984,False,80.25023353938637,False,[]
41,BasicRequest_no_show,1,31560,31560,833;-1;-1,1493;-1;-1,,,,,276.9235061012813,1814.5279595200002,0:t_wait:620.6924921729333;t_drive:576.9235061012805;fare:181,False,,0,0,8,,32613.985328810006,32935.55499235225,181,0,,620.6924921729333,False,31568.94999999987,False,80.72836673623662,False,[]
51,BasicRequest_no_show,1,33000,33000,1014;-1;-1,3562;-1;-1,,,,,425.128602689171,2325.8955158500003,0:t_wait:1268.7857039319933;t_drive:725.1286026891685;fare:232,True,,,,,,,,,0,,,False,,False,,False,[]
53,BasicRequest_no_show,1,33120,33120,1985;-1;-1,1587;-1;-1,,,,,1218.4486997540807,13567.951146546999,0:,False,,,,,,,,,0,,,False,,False,,False,[]
45,BasicRequest_no_show,2,32400,32400,1391;-1;-1,1586;-1;-1,,,,,1659.2855118390003,15802.559269953003,0:t_wait:631.5554001345008;t_drive:1959.2855118389998;fare:3160,False,33210,0,,,,,,3160,0,,,False,,False,,True,[]
56,BasicRequest_no_show,1,33420,33420,2054;-1;-1,704;-1;-1,,,,,1799.703107288355,17369.752208587004,0:,False,,,,,,,,,0,,,False,,False,,False,[]
57,BasicRequest_no_show,1,33600,33600,276;-1;-1,833;-1;-1,,,,,577.9203048710076,4933.74846738,0:t_wait:999.0582820249183;t_drive:877.9203048710042;fare:493,True,,,,,,,,,0,,,False,,False,,False,[]
46,BasicRequest_no_show,1,32580,32580,2385;-1;-1,2098;-1;-1,,,,,549.5679531425054,5535.343864128001,0:t_wait:476.4604317656267;t_drive:849.5679531425048;fare:553,False,,0.0,0.0,2.0,,33056.460431765634,33716.79045192138,553.0,0,,476.4604317656267,False,32587.099999999897,False,80.42563060877544,False,[]
58,BasicRequest_no_show,1,33720,33720,1336;-1;-1,3475;-1;-1,,,,,571.7815958273436,3387.726743789,0:,False,,,,,,,,,0,,,False,,False,,False,[]
60,BasicRequest_no_show,1,33720,33720,319;-1;-1,3475;-1;-1,,,,,649.1595437852816,4054.3673982590008,0:,False,,,,,,,,,0,,,False,,False,,False,[]
44,BasicRequest_no_show,2,32220,32220,1312;-1;-1,3044;-1;-1,,,,,1020.5963293937998,8274.229915438002,0:t_wait:354.7957552540138;t_drive:1320.5963293938003;fare:1654,False,,0,0,9,,32584.299343068808,33737.80895257115,1654,0,,354.7957552540138,False,32230.049999999854,False,82.89330130166098,False,[]
47,BasicRequest_no_show,1,32700,32700,3178;-1;-1,1809;-1;-1,,,,,591.6710081304682,6083.96211399,0:t_wait:219.5965556474912;t_drive:891.67100813047;fare:608,False,,0,0,11,,32919.59655564748,33837.677851354245,608,0,,219.5965556474912,False,32706.24999999991,False,81.20985393786371,False,[]
49,BasicRequest_no_show,1,32880,32880,748;-1;-1,4068;-1;-1,,,,,649.840347769127,5802.95732784,0:t_wait:607.1877667425288;t_drive:949.8403477691245;fare:580,False,,0,0,8,,33462.54764789837,34085.17531375627,580,0,,607.1877667425288,False,32884.200000000244,False,80.72852108997397,False,[]
54,BasicRequest_no_show,1,33120,33120,3752;-1;-1,1610;-1;-1,,,,,632.273127513983,4494.65491922,0:t_wait:324.6993526382794;t_drive:932.2731275139813;fare:449,False,,0,0,5,,33444.699352638265,34100.002067022564,449,0,,324.6993526382794,False,33128.500000000495,False,84.17055499071054,False,[]
48,BasicRequest_no_show,1,32760,32760,3171;-1;-1,3562;-1;-1,,,,,464.1805025135319,3360.0422773600003,0:t_wait:737.1087153382687;t_drive:764.1805025135327;fare:336,False,,0,0,6,,33728.689681331874,34306.729206450065,336,0,,737.1087153382687,False,32766.7499999999,False,81.03425867634843,False,[]
64,BasicRequest_no_show,1,34380,34380,1994;-1;-1,3475;-1;-1,,,,,294.72094940242516,1688.48316274,0:t_wait:1490.5918113323787;t_drive:594.7209494024282;fare:168,True,,,,,,,,,0,,,False,,False,,False,[]
65,BasicRequest_no_show,1,34380,34380,4050;-1;-1,1587;-1;-1,,,,,1249.790162752522,8389.588980036999,0:t_wait:1250.4412650825034;t_drive:1549.7901627525207;fare:838,True,,,,,,,,,0,,,False,,False,,False,[]
67,BasicRequest_no_show,1,34740,34740,189;-1;-1,3044;-1;-1,,,,,949.0978104489444,8952.48940239,0:t_wait:972.796771227222;t_drive:1249.0978104489477;fare:895,True,,,,,,,,,0,,,False,,False,,False,[]
69,BasicRequest_no_show,1,34920,34920,870;-1;-1,3562;-1;-1,,,,,492.3651199454067,3278.2947532609996,0:t_wait:1072.6436295612439;t_drive:792.3651199454034;fare:327,True,,,,,,,,,0,,,False,,False,,False,[]
70,BasicRequest_no_show,1,34980,34980,2599;-1;-1,3691;-1;-1,,,,,892.1151940974164,8929.46156134,0:t_wait:1424.197058798949;t_drive:1192.115194097416;fare:892,True,,,,,,,,,0,,,False,,False,,False,[]
63,BasicRequest_no_show,1,34320,34320,236;-1;-1,3562;-1;-1,,,,,345.8419482191607,1815.1941158109998,0:t_wait:570.4181669779937;t_drive:645.8419482191603;fare:181,False,,0,0,6,,34620.41816697798,34994.68668755552,181,0,,570.4181669779937,False,34329.65000000056,False,80.29400637800398,False,[]
71,BasicRequest_no_show,1,35040,35040,2003;-1;-1,1736;-1;-1,,,,,913.6754598800112,4854.119959129,0:t_wait:1313.9145066565034;t_drive:1213.6754598800107;fare:485,True,,,,,,,,,0,,,False,,False,,False,[]
73,BasicRequest_no_show,1,35160,35160,749;-1;-1,2208;-1;-1,,,,,666.4756463980657,3729.007742871,0:t_wait:1442.7026117605565;t_drive:966.4756463980666;fare:372,True,,,,,,,,,0,,,False,,False,,False,[]
55,BasicRequest_no_show,1,33360,33360,3157;-1;-1,2911;-1;-1,,,,,796.7651782878072,4977.829224645,0:t_wait:990.960448132937;t_drive:1096.7651782878092;fare:497,False,,0,0,11,,34392.929904988516,35244.38732575782,497,0,,990.960448132937,False,33390.0,True,13.609903332243228,False,[]
50,BasicRequest_no_show,2,32940,32940,1391;-1;-1,1586;-1;-1,,,,,1659.2855118390003,15802.559269953003,0:t_wait:51.33564034107985;t_drive:1959.2855118389998;fare:3160,False,,0,0,7,,33210,35296.69572652228,3160,0,,51.33564034107985,False,32945.55000000032,False,80.91196683268632,False,[]
75,BasicRequest_no_show,1,35400,35400,1315;-1;-1,3562;-1;-1,,,,,773.9636229364523,5458.338612023,0:t_wait:1487.2780170594851;t_drive:1073.963622936455;fare:545,True,,,,,,,,,0,,,False,,False,,False,[]
76,BasicRequest_no_show,1,35400,35400,1693;-1;-1,3562;-1;-1,,,,,1309.57667905558,12081.798788082997,0:t_wait:1471.4860679651538;t_drive:1609.576679055579;fare:1208,True,,,,,,,,,0,,,False,,False,,False,[]
77,BasicRequest_no_show,1,35460,35460,1693;-1;-1,3562;-1;-1,,,,,1309.57667905558,12081.798788082997,0:t_wait:1410.3417476824325;t_drive:1609.576679055579;fare:1208,True,,,,,,,,,0,,,False,,False,,False,[]
79,BasicRequest_no_show,1,35520,35520,2494;-1;-1,425;-1;-1,,,,,684.8384952958859,3807.6757781999995,0:,False,,,,,,,,,0,,,False,,False,,False,[]
80,BasicRequest_no_show,1,35640,35640,674;-1;-1,427;-1;-1,,,,,467.35260627274806,2923.3326213,0:,False,,,,,,,,,0,,,False,,False,,False,[]
81,BasicRequest_no_show,1,35700,35700,1281;-1;-1,989;-1;-1,,,,,679.2213758840311,4463.543308660001,0:,False,,,,,,,,,0,,,False,,False,,False,[]
82,BasicRequest_no_show,1,35760,35760,3672;-1;-1,2846;-1;-1,,,,,1159.7092434934725,8128.121320295,0:t_wait:1387.341867963296;t_drive:1459.7092434934748;fare:812,True,,,,,,,,,0,,,False,,False,,False,[]
62,BasicRequest_no_show,1,34260,34260,2637;-1;-1,3702;-1;-1,,,,,561.1744866294827,6812.778596849999,0:t_wait:404.1976036656197;t_drive:861.174486629483;fare:681,False,,0,0,8,,34835.185024423066,35783.11054609691,681,0,,404.1976036656197,False,34264.15000000024,False,81.69020063690898,False,[]
83,BasicRequest_no_show,1,35820,35820,3654;-1;-1,427;-1;-1,,,,,435.19868687808855,2687.0070684009997,0:t_wait:1492.5757623510362;t_drive:735.1986868780878;fare:268,True,,,,,,,,,0,,,False,,False,,False,[]
61,BasicRequest_no_show,1,34140,34140,3511;-1;-1,3432;-1;-1,,,,,1317.0522141369179,16030.642434929,0:t_wait:263.5461941742469;t_drive:1617.0522141369147;fare:1603,False,,0,0,9,,34432.16220342294,35951.86897980907,1603,0,,263.5461941742469,False,34146.950000000405,False,81.0980088734014,False,[]
85,BasicRequest_no_show,1,36000,36000,1311;-1;-1,3562;-1;-1,,,,,419.256395944819,2429.719314303,0:t_wait:1252.1900073267025;t_drive:719.2563959448162;fare:242,True,,,,,,,,,0,,,False,,False,,False,[]
52,BasicRequest_no_show,2,33120,33120,802;-1;-1,3541;-1;-1,,,,,1301.756653211516,10134.486364637,0:t_wait:1021.0364279743008;t_drive:1601.756653211516;fare:2026,False,,0,0.0,10.0,,34361.06819711708,36027.11803649785,2026,0,,1021.0364279743008,False,33150.0,True,10.273700685894555,False,[]
84,BasicRequest_no_show,1,36000,36000,2224;-1;-1,3562;-1;-1,,,,,622.6275666007907,2787.894371931,0:t_wait:1103.051247754658;t_drive:922.6275666007932;fare:278,False,36030.0,0,,,,,,278,0,,1103.051247754658,True,36030.0,True,-40.90305026840483,False,[]
59,BasicRequest_no_show,1,33720,33720,199;-1;-1,1586;-1;-1,,,,,1262.9336393459062,15291.009192023,0:t_wait:817.3656646508534;t_drive:1562.933639345909;fare:1529,False,,0,0,5,,34279.6950441571,36077.9755105912,1529,0,,817.3656646508534,False,33725.2000000003,False,81.77037423178537,False,[]
87,BasicRequest_no_show,1,36120,36120,1013;-1;-1,333;-1;-1,,,,,660.2682577041346,6525.271643970001,0:t_wait:1392.036641331426;t_drive:960.2682577041342;fare:652,True,,,,,,,,,0,,,False,,False,,False,[]
74,BasicRequest_no_show,1,35280,35280,2317;-1;-1,3562;-1;-1,,,,,317.96516563504923,2106.99572504,0:t_wait:945.1852578780235;t_drive:617.965165635047;fare:210,False,,0,0,8,,36104.87855184868,36509.76578862283,210,0,,945.1852578780235,False,35293.60000000079,False,80.85538529896485,False,[]
92,BasicRequest_no_show,1,36600,36600,1503;-1;-1,427;-1;-1,,,,,424.28150406675354,2376.27212035,0:t_wait:1188.9359595040296;t_drive:724.2815040667556;fare:237,True,,,,,,,,,0,,,False,,False,,False,[]
91,BasicRequest_no_show,1,36600,36600,2455;-1;-1,3475;-1;-1,,,,,528.7320449242687,4262.143421950001,0:t_wait:1225.026916116767;t_drive:828.7320449242688;fare:426,False,36630,0,,,,,,426,0,,1225.026916116767,True,36630.0,True,-25.343748354132686,False,[]
66,BasicRequest_no_show,1,34560,34560,1234;-1;-1,2122;-1;-1,,,,,641.6765250411861,5292.799551203,0:t_wait:923.4022833588097;t_drive:941.6765250411845;fare:529,False,,0,0,2,,35826.889006126294,36751.70100306734,529,0,,923.4022833588097,False,34590.0,True,30.20978318649496,False,[]
99,BasicRequest_no_show,1,36900,36900,2508;-1;-1,1587;-1;-1,,,,,1103.9521358876377,8454.511637477,0:,False,,,,,,,,,0,,,False,,False,,False,[]
100,BasicRequest_no_show,1,36900,36900,332;-1;-1,2311;-1;-1,,,,,483.4738061197061,3701.262947698,0:t_wait:1455.916080082934;t_drive:783.4738061197058;fare:370,True,,,,,,,,,0,,,False,,False,,False,[]
72,BasicRequest_no_show,1,35040,35040,1080;-1;-1,427;-1;-1,,,,,992.2191361178385,8821.747134463,0:t_wait:616.4986970627142;t_drive:1292.2191361178411;fare:882,False,,0,0,11,,35364.13585806879,36904.21957626573,882,0,,616.4986970627142,False,35045.80000000034,False,80.74950392754731,False,[]
97,BasicRequest_no_show,1,36900,36900,1060;-1;-1,427;-1;-1,,,,,595.9984393856246,3679.3652790000006,0:t_wait:1175.4773686319677;t_drive:895.9984393856212;fare:367,False,36930,0,,,,,,367,0,,1175.4773686319677,True,36930.0,True,-19.044883164329317,False,[]
101,BasicRequest_no_show,1,37080,37080,1802;-1;-1,2122;-1;-1,,,,,535.1241911709462,5462.754398540001,0:,False,,,,,,,,,0,,,False,,False,,False,[]
88,BasicRequest_no_show,1,36180,36180,428;-1;-1,2155;-1;-1,,,,,509.88999798280497,2255.70051995,0:t_wait:971.5315054357707;t_drive:809.8899979828057;fare:225,False,,0,0,8,,36668.45357657489,37127.617066945626,225,0,,767.255434407889,False,36205.60000000149,False,80.31735526421397,False,[]
102,BasicRequest_no_show,1,37140,37140,1923;-1;-1,3562;-1;-1,,,,,743.8971138802273,5992.037608328001,0:t_wait:1010.7855208074907;t_drive:1043.8971138802299;fare:599,True,,,,,,,,,0,,,False,,False,,False,[]
105,BasicRequest_no_show,1,37380,37380,2001;-1;-1,802;-1;-1,,,,,828.9486969242423,5423.77601204,0:t_wait:1478.9827237119753;t_drive:1128.9486969242425;fare:542,True,,,,,,,,,0,,,False,,False,,False,[]
106,BasicRequest_no_show,1,37380,37380,1028;-1;-1,1827;-1;-1,,,,,1380.7390606219246,16527.420106774,0:,False,,,,,,,,,0,,,False,,False,,False,[]
68,BasicRequest_no_show,2,34740,34740,1312;-1;-1,3044;-1;-1,,,,,1328.5507267470002,8681.859273148,0:t_wait:891.4254703552069;t_drive:1628.550726747002;fare:1736,False,,0,0,6,,35344.98769940395,37402.15430386038,1736,0,,891.4254703552069,False,34762.00000000128,False,80.27181207217227,False,[]
89,BasicRequest_no_show,1,36180,36180,3562;-1;-1,1722;-1;-1,,,,,483.33822747566325,3203.3897424099996,0:t_wait:954.9601875449443;t_drive:783.3382274756659;fare:320,False,,0,0,2,,36982.362399711856,37571.648829863865,320,0,,954.9601875449443,False,36210.0,True,39.25548159703263,False,[]
94,BasicRequest_no_show,1,36780,36780,748;-1;-1,427;-1;-1,,,,,376.926628278846,2001.4241935,0:t_wait:683.6056440750035;t_drive:676.9266282788449;fare:200,False,,0,0,8,,37171.1650219822,37751.855429681746,200,0,,683.6056440750035,False,36789.95000000058,False,80.08264888055044,False,[]
78,BasicRequest_no_show,1,35520,35520,2944;-1;-1,2858;-1;-1,,,,,824.6766075518206,6779.039944227,0:t_wait:815.6901866772241;t_drive:1124.6766075518171;fare:677,False,,0,0,7,,36387.639074281826,37810.520485173474,677,0,,815.6901866772241,False,35526.05000000035,False,81.15877090445068,False,[]
109,BasicRequest_no_show,1,37980,37980,2131;-1;-1,3562;-1;-1,,,,,431.3936430385053,2741.872916071,0:t_wait:1188.7315748647015;t_drive:731.3936430385074;fare:274,True,,,,,,,,,0,,,False,,False,,False,[]
86,BasicRequest_no_show,1,36000,36000,1926;-1;-1,1587;-1;-1,,,,,1248.9653372235475,10087.185806147,0:t_wait:964.6701768637213;t_drive:1548.965337223548;fare:1008,False,,0,0,10,,36759.998997791554,38107.031442506806,1008,0,,964.6701768637213,False,36030.0,True,22.582773770641655,False,[]
